DBID	locus	strain	gene_name	gene_name2	proteins_molecular_weight	protein_length
S000003397	YGR165W	S. cerevisiae	MRPS35	"Mitochondrial Ribosomal Protein, Small subunit"	39597.8	345
S000003398	YGR166W	S. cerevisiae	TRS65	TRapp Subunit	63377.5	560
S000003399	YGR167W	S. cerevisiae	CLC1	Clathrin Light Chain	26500.6	233
S000003400	YGR168C	S. cerevisiae	PEX35	PEroXin	44341.6	376
S000003401	YGR169C	S. cerevisiae	PUS6	PseudoUridine Synthase	46821.4	404
S000003402	YGR170W	S. cerevisiae	PSD2	PhosphatidylSerine Decarboxylase	130069.4	1138
S000003403	YGR171C	S. cerevisiae	MSM1	"Mitochondrial aminoacyl-tRNA Synthetase, Methionine"	66745.1	575
S000003404	YGR172C	S. cerevisiae	YIP1	Ypt-Interacting Protein	27077.5	248
S000003405	YGR173W	S. cerevisiae	RBG2	RiBosome interacting Gtpase	41011.5	368
S000003406	YGR174C	S. cerevisiae	CBP4	Cytochrome B mRNA Processing	20225.4	170
S000003407	YGR175C	S. cerevisiae	ERG1	ERGosterol biosynthesis	55120.4	496
S000003408	YGR176W	S. cerevisiae			13691.2	115
S000003409	YGR177C	S. cerevisiae	ATF2	AcetylTransFerase	61883.4	535
S000003410	YGR178C	S. cerevisiae	PBP1	Pab1p-Binding Protein	78776.4	722
S000003411	YGR179C	S. cerevisiae	OKP1	Outer Kinetochore Protein	47342.8	406
S000003412	YGR180C	S. cerevisiae	RNR4	RiboNucleotide Reductase	40041.8	345
S000003413	YGR181W	S. cerevisiae	TIM13	Translocase of the Inner Mitochondrial membrane	11288	105
S000003414	YGR182C	S. cerevisiae			13619.2	117
S000003415	YGR183C	S. cerevisiae	QCR9	ubiQuinol-cytochrome C oxidoReductase	7475.4	66
S000003416	YGR184C	S. cerevisiae	UBR1		224775	1950
S000003417	YGR185C	S. cerevisiae	TYS1	TYrosyl-tRNA Synthetase	44024.4	394
S000003418	YGR186W	S. cerevisiae	TFG1	Transcription Factor G	82183.5	735
S000003419	YGR187C	S. cerevisiae	HGH1	HmG1/2 Homolog	44920.6	394
S000003420	YGR188C	S. cerevisiae	BUB1	Budding Uninhibited by Benzimidazole	117861.4	1021
S000003421	YGR189C	S. cerevisiae	CRH1	Congo Red Hypersensitive	52737.4	507
S000003422	YGR190C	S. cerevisiae			13390.1	121
S000003423	YGR191W	S. cerevisiae	HIP1	HIstidine Permease	66006.9	603
S000003424	YGR192C	S. cerevisiae	TDH3	Triose-phosphate DeHydrogenase	35745	332
S000003425	YGR193C	S. cerevisiae	PDX1	Pyruvate Dehydrogenase complex protein X	45356.1	410
S000003426	YGR194C	S. cerevisiae	XKS1	XyluloKinaSe	68316.7	600
S000003427	YGR195W	S. cerevisiae	SKI6	SuperKIller	27562.1	246
S000003428	YGR196C	S. cerevisiae	FYV8	Function required for Yeast Viability	90717.2	817
S000003429	YGR197C	S. cerevisiae	SNG1		61300.1	547
S000003430	YGR198W	S. cerevisiae	YPP1	alpha-sYnuclein Protective Protein	95342.3	817
S000003431	YGR199W	S. cerevisiae	PMT6	Protein O-MannosylTransferase	88018.7	759
S000003432	YGR200C	S. cerevisiae	ELP2	ELongator Protein	89384.2	788
S000003433	YGR201C	S. cerevisiae			26291.2	225
S000003434	YGR202C	S. cerevisiae	PCT1	Phosphocholine CytidylylTransferase	49412.8	424
S000003435	YGR203W	S. cerevisiae	YCH1	Yeast Cdc25 Homolog	17248.8	148
S000003436	YGR204W	S. cerevisiae	ADE3	ADEnine requiring	102199.2	946
S000003437	YGR205W	S. cerevisiae	TDA10	Topoisomerase I Damage Affected	33328	290
S000003438	YGR206W	S. cerevisiae	MVB12	MultiVesicular Body sorting factor of 12 kilodaltons	11969.8	101
S000003439	YGR207C	S. cerevisiae	CIR1	Changed Intracellular Redox state	28762	261
S000003440	YGR208W	S. cerevisiae	SER2	SERine requiring	34197.6	309
S000003441	YGR209C	S. cerevisiae	TRX2	ThioRedoXin	11201	104
S000003442	YGR210C	S. cerevisiae			45217.5	411
S000003443	YGR211W	S. cerevisiae	ZPR1	Zinc finger PRotein	55042.5	486
S000003444	YGR212W	S. cerevisiae	SLI1	Sphingosine-Like Immunosuppressant resistant gene	54467.8	468
S000003445	YGR213C	S. cerevisiae	RTA1	Resistance To 7-Aminocholesterol	35487	317
S000003446	YGR214W	S. cerevisiae	RPS0A	Ribosomal Protein of the Small subunit	28006.5	252
S000003447	YGR215W	S. cerevisiae	RSM27	Ribosomal Small subunit of Mitochondria	12408.9	110
S000003448	YGR216C	S. cerevisiae	GPI1	GlycosylPhosphatidylInositol anchoring biosynthesis	70372	609
S000003449	YGR217W	S. cerevisiae	CCH1	Calcium Channel Homolog	234618.1	2039
S000003450	YGR218W	S. cerevisiae	CRM1	Chromosome Region Maintenance	124076	1084
S000003451	YGR219W	S. cerevisiae			13268.5	113
S000003452	YGR220C	S. cerevisiae	MRPL9	"Mitochondrial Ribosomal Protein, Large subunit"	29814	269
S000003453	YGR221C	S. cerevisiae	TOS2	Target Of Sbf	69463.6	622
S000003454	YGR222W	S. cerevisiae	PET54	PETite colonies	34644.8	293
S000003455	YGR223C	S. cerevisiae	HSV2	Homologous with SVP1	51247.9	448
S000003456	YGR224W	S. cerevisiae	AZR1	Acetic Acid and AZoles Resistance	67181.2	613
S000003457	YGR225W	S. cerevisiae	AMA1	Activator of Meiotic APC/C	67035.6	593
S000003458	YGR226C	S. cerevisiae			8248.6	69
S000003459	YGR227W	S. cerevisiae	DIE2	Derepression of ITR1 Expression	61811	525
S000003460	YGR228W	S. cerevisiae			11924.9	114
S000003461	YGR229C	S. cerevisiae	SMI1	Suppressor of MAR Inhibitor	57035.6	505
S000003462	YGR230W	S. cerevisiae	BNS1	Bypasses Need for Spo12p	15859.6	137
S000003463	YGR231C	S. cerevisiae	PHB2	ProHiBitin	34420.1	310
S000003464	YGR232W	S. cerevisiae	NAS6	Non-ATPase Subunit 6	25611.5	228
S000003465	YGR233C	S. cerevisiae	PHO81	PHOsphate metabolism	134000.3	1178
S000003466	YGR234W	S. cerevisiae	YHB1	Yeast flavoHemogloBin	44636.7	399
S000003467	YGR235C	S. cerevisiae	MIC26	MItochondrial contact site and Cristae organizing system	26919.2	233
S000003468	YGR236C	S. cerevisiae	SPG1	Stationary Phase Gene	10546.4	95
S000003469	YGR237C	S. cerevisiae			89255.3	785
S000003470	YGR238C	S. cerevisiae	KEL2	KELch repeat	99980.1	882
S000003471	YGR239C	S. cerevisiae	PEX21	PEroXin	33046	288
S000003472	YGR240C	S. cerevisiae	PFK1	PhosphoFructoKinase	107957.4	987
S000003473	YGR241C	S. cerevisiae	YAP1802	Yeast Assembly Polypeptide	64324.1	568
S000003474	YGR242W	S. cerevisiae			11550.6	102
S000003475	YGR243W	S. cerevisiae	MPC3	Mitochondrial Pyruvate Carrier	16242.1	146
S000003476	YGR244C	S. cerevisiae	LSC2	Ligase of Succinyl-CoA	46901.2	427
S000003477	YGR245C	S. cerevisiae	SDA1	Severe Depolymerization of Actin	86615.5	767
S000003478	YGR246C	S. cerevisiae	BRF1	B-Related Factor	66903.3	596
S000003479	YGR247W	S. cerevisiae	CPD1	Cyclic nucleotide PhosphoDiesterase	26731.9	239
S000003480	YGR248W	S. cerevisiae	SOL4	Suppressor Of Los1-1	28439.9	255
S000003481	YGR249W	S. cerevisiae	MGA1		50748	456
S000003482	YGR250C	S. cerevisiae	RIE1	Restoration of Impaired growths of ERMES-lacking cells	89484.5	781
S000003483	YGR251W	S. cerevisiae	NOP19	NucleOlar Protein	22333.8	196
S000003484	YGR252W	S. cerevisiae	GCN5	General Control Nonderepressible	51065.8	439
S000003485	YGR253C	S. cerevisiae	PUP2	PUtative Proteasome subunit	28596.3	260
S000003486	YGR254W	S. cerevisiae	ENO1	ENOlase	46811.5	437
S000003487	YGR255C	S. cerevisiae	COQ6	COenzyme Q	53526	479
S000003488	YGR256W	S. cerevisiae	GND2	6-phosphoGlucoNateDehydrogenase	53922.4	492
S000003489	YGR257C	S. cerevisiae	MTM1	Manganese Trafficking factor for Mitochondrial SOD2	40779	366
S000003490	YGR258C	S. cerevisiae	RAD2	RADiation sensitivity	117804	1031
S000003491	YGR259C	S. cerevisiae			16131.1	146
S000003492	YGR260W	S. cerevisiae	TNA1	Transporter of Nicotinic Acid	60133.4	534
S000003493	YGR261C	S. cerevisiae	APL6	clathrin Adaptor Protein complex Large chain	91592	809
S000003494	YGR262C	S. cerevisiae	BUD32	BUD site selection	29940.7	261
S000003495	YGR263C	S. cerevisiae	SAY1	Steryl Acetyl hYdrolase	48541.3	424
S000003496	YGR264C	S. cerevisiae	MES1	MEthionyl-tRNA Synthetase	85668.8	751
S000003497	YGR265W	S. cerevisiae			16098.6	136
S000003498	YGR266W	S. cerevisiae			81183.4	701
S000003499	YGR267C	S. cerevisiae	FOL2	FOLic acid synthesis	27768.4	243
S000003500	YGR268C	S. cerevisiae	HUA1		22445.6	198
S000003501	YGR269W	S. cerevisiae			12287.7	108
S000003502	YGR270W	S. cerevisiae	YTA7	Yeast Tat-binding Analog	157353.3	1379
S000003503	YGR271W	S. cerevisiae	SLH1	SKI2-Like Helicase	224827.7	1967
S000003505	YGR273C	S. cerevisiae			20017.9	174
S000003506	YGR274C	S. cerevisiae	TAF1	TATA binding protein-Associated Factor	120695.3	1066
S000003507	YGR275W	S. cerevisiae	RTT102	Regulator of Ty1 Transposition	17792.9	157
S000003508	YGR276C	S. cerevisiae	RNH70	RNase H	62847.8	553
S000003509	YGR277C	S. cerevisiae	CAB4	Coenzyme A Biosynthesis	34299.8	305
S000003510	YGR278W	S. cerevisiae	CWC22	Complexed With Cef1p	67290.8	577
S000003511	YGR279C	S. cerevisiae	SCW4	Soluble Cell Wall protein	40160.3	386
S000003512	YGR280C	S. cerevisiae	PXR1	PinX1-Related gene	31339.3	271
S000003513	YGR281W	S. cerevisiae	YOR1	Yeast Oligomycin Resistance	166731.9	1477
S000003514	YGR282C	S. cerevisiae	BGL2	Beta-GLucanase	34099.7	313
S000003515	YGR283C	S. cerevisiae			38560.9	341
S000003516	YGR284C	S. cerevisiae	ERV29	ER Vesicle	35028.2	310
S000003517	YGR285C	S. cerevisiae	ZUO1	ZUOtin	49022.5	433
S000003518	YGR286C	S. cerevisiae	BIO2	BIOtin	41891.9	375
S000003519	YGR287C	S. cerevisiae	IMA1	IsoMAltase	68571.9	589
S000003520	YGR288W	S. cerevisiae	MAL13	MALtose fermentation	54320.8	473
S000003521	YGR289C	S. cerevisiae	MAL11	MALtose fermentation	67975.9	616
S000003522	YGR290W	S. cerevisiae			16783.5	147
S000003523	YGR291C	S. cerevisiae			8457.5	73
S000003524	YGR292W	S. cerevisiae	MAL12	MALtose fermentation	68078.6	584
S000003525	YGR293C	S. cerevisiae			17323.6	153
S000003526	YGR294W	S. cerevisiae	PAU12	seriPAUperin	12816.6	120
S000003527	YGR295C	S. cerevisiae	COS6	COnserved Sequence	45688.7	381
S000003528	YGR296W	S. cerevisiae	YRF1-3		211114.4	1859
S000003529	YHR001W-A	S. cerevisiae	QCR10	ubiQuinol-cytochrome C oxidoReductase	8594	77
S000003530	YHR005C-A	S. cerevisiae	TIM10	Translocase of the Inner Membrane	10303.8	93
S000003531	YHR021W-A	S. cerevisiae	ECM12	ExtraCellular Mutant	17442.6	151
S000003532	YHR049C-A	S. cerevisiae			11551.1	98
S000003533	YHR139C-A	S. cerevisiae			11912.3	103
S000003535	YHR214W-A	S. cerevisiae			18045.9	161
S000003536	YIL014C-A	S. cerevisiae			11649.9	104
S000003538	YJL001W	S. cerevisiae	PRE3	PRoteinase yscE	23543.8	215
S000003539	YJL002C	S. cerevisiae	OST1	OligoSaccharylTransferase	54053.1	476
S000003540	YJL003W	S. cerevisiae	COX16	Cytochrome c OXidase	14080.2	118
S000003541	YJL004C	S. cerevisiae	SYS1	Suppressor of Ypt Six	23713.7	203
S000003542	YJL005W	S. cerevisiae	CYR1	CYclic AMP Requirement	227830.7	2026
S000003543	YJL006C	S. cerevisiae	CTK2	Carboxy-Terminal domain Kinase	37908	323
S000003544	YJL007C	S. cerevisiae			11855.6	104
S000003545	YJL008C	S. cerevisiae	CCT8	Chaperonin Containing TCP-1	61651	568
S000003546	YJL009W	S. cerevisiae			12663.2	108
S000003547	YJL010C	S. cerevisiae	NOP9	NucleOlar Protein	77726	666
S000003548	YJL011C	S. cerevisiae	RPC17	RNA Polymerase C	18592.3	161
S000003549	YJL012C	S. cerevisiae	VTC4	Vacuolar Transporter Chaperone	83150.4	721
S000003550	YJL013C	S. cerevisiae	MAD3	Mitotic Arrest-Deficient	59523.1	515
S000003551	YJL014W	S. cerevisiae	CCT3	Chaperonin Containing TCP-1	58807.9	534
S000003552	YJL015C	S. cerevisiae			11281.6	94
S000003553	YJL016W	S. cerevisiae	TPH3	Twin PH domain-3	63208.3	561
S000003556	YJL019W	S. cerevisiae	MPS3	MonoPolar Spindle	79148.4	682
S000003557	YJL020C	S. cerevisiae	BBC1	Bni1 synthetic lethal and Bee1 (las17) Complex member	128240.4	1157
S000003559	YJL022W	S. cerevisiae			11535.5	102
S000003560	YJL023C	S. cerevisiae	PET130	PETite colonies	39835.3	347
S000003561	YJL024C	S. cerevisiae	APS3	clathrin Associated Protein complex Small subunit	21923.8	194
S000003562	YJL025W	S. cerevisiae	RRN7	Regulation of RNA polymerase I	60362	514
S000003563	YJL026W	S. cerevisiae	RNR2	RiboNucleotide Reductase	46129.7	399
S000003564	YJL027C	S. cerevisiae			15727.9	138
S000003565	YJL028W	S. cerevisiae			12913.7	111
S000003566	YJL029C	S. cerevisiae	VPS53	Vacuolar Protein Sorting	95434.4	822
S000003567	YJL030W	S. cerevisiae	MAD2	Mitotic Arrest-Deficient	22278.2	196
S000003568	YJL031C	S. cerevisiae	BET4	Blocked Early in Transport	39674	327
S000003569	YJL032W	S. cerevisiae			12388.8	104
S000003570	YJL033W	S. cerevisiae	HCA4	Helicase CA	87192.6	770
S000003571	YJL034W	S. cerevisiae	KAR2	KARyogamy	74434.4	682
S000003572	YJL035C	S. cerevisiae	TAD2	tRNA-specific Adenosine Deaminase	28251.8	250
S000003573	YJL036W	S. cerevisiae	SNX4	Sorting NeXin	48996.7	423
S000003574	YJL037W	S. cerevisiae	IRC18	Increased Recombination Centers	24754.4	224
S000003575	YJL038C	S. cerevisiae	LOH1	Loss Of Heterozygosity	24842.8	219
S000003576	YJL039C	S. cerevisiae	NUP192	NUclear Pore	191493.4	1683
S000003577	YJL041W	S. cerevisiae	NSP1	NucleoSkeletal-like Protein	86513.9	823
S000003578	YJL042W	S. cerevisiae	MHP1	MAP-Homologous Protein	155204.5	1398
S000003579	YJL043W	S. cerevisiae			29228.6	257
S000003580	YJL044C	S. cerevisiae	GYP6	Gtpase-activating protein of Ypt6 Protein	53804.2	458
S000003581	YJL045W	S. cerevisiae	SDH9	Succinate DeHydrogenase	69381.4	634
S000003582	YJL046W	S. cerevisiae	AIM22	Altered Inheritance rate of Mitochondria	47003.9	409
S000003583	YJL047C	S. cerevisiae	RTT101	Regulator of Ty1 Transposition	99326.5	842
S000003584	YJL048C	S. cerevisiae	UBX6	UBiquitin regulatory X	45020.9	396
S000003585	YJL049W	S. cerevisiae	CHM7	CHarged Multivesicular body protein	52832.8	450
S000003586	YJL050W	S. cerevisiae	MTR4	Mrna TRansport	122040.2	1073
S000003587	YJL051W	S. cerevisiae	IRC8	Increased Recombination Centers	91246.4	822
S000003588	YJL052W	S. cerevisiae	TDH1	Triose-phosphate DeHydrogenase	35752.3	332
S000003589	YJL053W	S. cerevisiae	PEP8	carboxyPEPtidase Y-deficient	42550.5	379
S000003590	YJL054W	S. cerevisiae	TIM54	Translocase of the Inner Mitochondrial membrane	54176.2	478
S000003591	YJL055W	S. cerevisiae	LOG1	LOnely Guy	26855.7	245
S000003592	YJL056C	S. cerevisiae	ZAP1	Zinc-responsive Activator Protein	98854.8	880
S000003593	YJL057C	S. cerevisiae	IKS1		75319	667
S000003594	YJL058C	S. cerevisiae	BIT61	Binding partner of Tor2p	60840.7	543
S000003595	YJL059W	S. cerevisiae	YHC3	Yeast Homolog of human Cln3	46382.5	408
S000003596	YJL060W	S. cerevisiae	BNA3	Biosynthesis of Nicotinic Acid	50079.7	444
S000003597	YJL061W	S. cerevisiae	NUP82	NUclear Pore	82067	713
S000003598	YJL062W	S. cerevisiae	LAS21	Local Anestheticum Sensitive	94834.5	830
S000003599	YJL063C	S. cerevisiae	MRPL8	"Mitochondrial Ribosomal Protein, Large subunit"	26958.8	238
S000003600	YJL064W	S. cerevisiae			13854.1	131
S000003601	YJL065C	S. cerevisiae	DLS1	Dpb3-Like Subunit of ISW2/yCHRAC complex	18771.6	167
S000003602	YJL066C	S. cerevisiae	MPM1	Mitochondrial Peculiar Membrane protein	28465.2	252
S000003603	YJL067W	S. cerevisiae			12755.1	116
S000003604	YJL068C	S. cerevisiae			33929.4	299
S000003605	YJL069C	S. cerevisiae	UTP18	U Three Protein	66390	594
S000003606	YJL070C	S. cerevisiae			104241.4	888
S000003607	YJL071W	S. cerevisiae	ARG2	ARGinine requiring	65619.9	574
S000003608	YJL072C	S. cerevisiae	PSF2	Partner of Sld Five	25058	213
S000003609	YJL073W	S. cerevisiae	JEM1	DnaJ-like protein of the ER Membrane	75157.7	645
S000003610	YJL074C	S. cerevisiae	SMC3	Stability of MiniChromosomes	141316.7	1230
S000003611	YJL075C	S. cerevisiae	APQ13		15629.1	138
S000003612	YJL076W	S. cerevisiae	NET1	Nucleolar silencing Establishing factor and Telophase regulator	128533.6	1189
S000003613	YJL077C	S. cerevisiae	ICS3	Increased Copper Sensitivity	14839.9	131
S000003614	YJL078C	S. cerevisiae	PRY3	Pathogen Related in Yeast	89120.2	881
S000003615	YJL079C	S. cerevisiae	PRY1	Pathogen Related in Yeast	30618.4	299
S000003616	YJL080C	S. cerevisiae	SCP160	S. cerevisiae protein involved in the Control of Ploidy	134788.8	1222
S000003617	YJL081C	S. cerevisiae	ARP4	Actin-Related Protein	54821.3	489
S000003618	YJL082W	S. cerevisiae	IML2	Increased Minichromosome Loss	82531.5	731
S000003619	YJL083W	S. cerevisiae	TAX4		68792.2	604
S000003620	YJL084C	S. cerevisiae	ALY2	Arrestin-Like Yeast protein	117207.5	1046
S000003621	YJL085W	S. cerevisiae	EXO70	EXOcyst	71294.2	623
S000003622	YJL086C	S. cerevisiae			14162.8	122
S000003623	YJL087C	S. cerevisiae	TRL1	tRNA Ligase	95342.1	827
S000003624	YJL088W	S. cerevisiae	ARG3	ARGinine requiring	37839.6	338
S000003625	YJL089W	S. cerevisiae	SIP4	SNF1-Interacting Protein	95998.5	829
S000003626	YJL090C	S. cerevisiae	DPB11	DNA Polymerase B (II)	87258.6	764
S000003627	YJL091C	S. cerevisiae	GWT1	GPI-anchored Wall protein Transfer	55484.7	490
S000003628	YJL092W	S. cerevisiae	SRS2	Suppressor of Rad Six	134321.7	1174
S000003629	YJL093C	S. cerevisiae	TOK1		77406.2	691
S000003630	YJL094C	S. cerevisiae	KHA1	K/H ion Antiporter	97097.5	873
S000003631	YJL095W	S. cerevisiae	BCK1	Bypass of C Kinase	164246.6	1478
S000003632	YJL096W	S. cerevisiae	MRPL49	"Mitochondrial Ribosomal Protein, Large subunit"	18406.9	161
S000003633	YJL097W	S. cerevisiae	PHS1	PTPLA Homolog involved in Sphingolipid biosynthesis 1	24526.9	217
S000003634	YJL098W	S. cerevisiae	SAP185	Sit4 Associated Protein	121270.8	1058
S000003635	YJL099W	S. cerevisiae	CHS6	CHitin Synthase-related	86030.1	746
S000003636	YJL100W	S. cerevisiae	LSB6	Las Seventeen Binding protein	70209.5	607
S000003637	YJL101C	S. cerevisiae	GSH1	glutathione (GSH)	78241.2	678
S000003638	YJL102W	S. cerevisiae	MEF2	Mitochondrial Elongation Factor	91278.1	819
S000003639	YJL103C	S. cerevisiae	GSM1	Glucose Starvation Modulator	70386.8	618
S000003640	YJL104W	S. cerevisiae	PAM16	Presequence translocase-Associated Motor	16222.3	149
S000003641	YJL105W	S. cerevisiae	SET4	SET domain-containing	63869.9	560
S000003642	YJL106W	S. cerevisiae	IME2	Inducer of MEiosis	73562.3	645
S000003643	YJL107C	S. cerevisiae			42496.4	387
S000003644	YJL108C	S. cerevisiae	PRM10	Pheromone-Regulated Membrane protein	41491.9	383
S000003645	YJL109C	S. cerevisiae	UTP10	U Three Protein	200069.9	1769
S000003646	YJL110C	S. cerevisiae	GZF3	Gata Zinc Finger protein	60537.8	551
S000003647	YJL111W	S. cerevisiae	CCT7	Chaperonin Containing TCP-1	59725.2	550
S000003648	YJL112W	S. cerevisiae	MDV1	Mitochondrial DiVision	80016	714
S000003651	YJL115W	S. cerevisiae	ASF1	Anti-Silencing Function	31533.1	279
S000003652	YJL116C	S. cerevisiae	NCA3	Nuclear Control of ATPase	35388.7	337
S000003653	YJL117W	S. cerevisiae	PHO86	PHOsphate metabolism	34895.1	311
S000003654	YJL118W	S. cerevisiae			25623	219
S000003655	YJL119C	S. cerevisiae			12429.4	107
S000003656	YJL120W	S. cerevisiae			12809.1	107
S000003657	YJL121C	S. cerevisiae	RPE1	Ribulose 5-Phosphate Epimerase	25961.4	238
S000003658	YJL122W	S. cerevisiae	ALB1	Arx1 Little Brother	19301.4	175
S000003659	YJL123C	S. cerevisiae	MTC1	Maintenance of Telomere Capping	53431.5	478
S000003660	YJL124C	S. cerevisiae	LSM1	Like SM	20304.2	172
S000003661	YJL125C	S. cerevisiae	GCD14	General Control Nonderepressible	43920.2	383
S000003662	YJL126W	S. cerevisiae	NIT2	NITrilase superfamily	34690.2	307
S000003663	YJL127C	S. cerevisiae	SPT10	SuPpressor of Ty	72907	640
S000003664	YJL128C	S. cerevisiae	PBS2	Polymyxin B Sensitivity	72731.9	668
S000003665	YJL129C	S. cerevisiae	TRK1	TRansport of potassium (K)	141084.1	1235
S000003666	YJL130C	S. cerevisiae	URA2	URAcil requiring	244996.8	2214
S000003667	YJL131C	S. cerevisiae	AIM23	Altered Inheritance rate of Mitochondria	41490.8	356
S000003668	YJL132W	S. cerevisiae			84454	750
S000003669	YJL133W	S. cerevisiae	MRS3	Mitochondrial RNA Splicing	34505.9	314
S000003670	YJL134W	S. cerevisiae	LCB3	Long-Chain Base	47386.3	409
S000003671	YJL135W	S. cerevisiae			12386.9	105
S000003672	YJL136C	S. cerevisiae	RPS21B	Ribosomal Protein of the Small subunit	9759	87
S000003673	YJL137C	S. cerevisiae	GLG2	Glycogenin-Like Gene	44536.3	380
S000003674	YJL138C	S. cerevisiae	TIF2	Translation Initiation Factor	44684.5	395
S000003675	YJL139C	S. cerevisiae	YUR1	Yeast Unknown Reading frame	50820.4	428
S000003676	YJL140W	S. cerevisiae	RPB4	RNA Polymerase B	25397.4	221
S000003677	YJL141C	S. cerevisiae	YAK1	Yet Another Kinase	91254.4	807
S000003678	YJL142C	S. cerevisiae	IRC9	Increased Recombination Centers	14855.3	130
S000003679	YJL143W	S. cerevisiae	TIM17	Translocase of the Inner Mitochondrial membrane	16590.5	158
S000003680	YJL144W	S. cerevisiae	ROQ1	Regulator Of Quality control	11658.8	104
S000003681	YJL145W	S. cerevisiae	SFH5	Sec Fourteen Homolog	34390.6	294
S000003682	YJL146W	S. cerevisiae	IDS2	IME2-Dependent Signaling	53194.8	469
S000003683	YJL147C	S. cerevisiae	SMT1	Suppression of Mitochondrial Translation	44872.3	382
S000003684	YJL148W	S. cerevisiae	RPA34	RNA Polymerase A	26879.7	233
S000003685	YJL149W	S. cerevisiae	DAS1	Dst1-delta 6-Azauracil Sensitivity	77360.6	663
S000003686	YJL150W	S. cerevisiae			11879.9	100
S000003687	YJL151C	S. cerevisiae	SNA3	Sensitivity to NA+	15190.3	133
S000003688	YJL152W	S. cerevisiae			13663.2	119
S000003689	YJL153C	S. cerevisiae	INO1	INOsitol requiring	59633.6	533
S000003690	YJL154C	S. cerevisiae	VPS35	Vacuolar Protein Sorting	109126.3	944
S000003691	YJL155C	S. cerevisiae	FBP26	Fructose BisPhosphatase	52593.4	452
S000003692	YJL156C	S. cerevisiae	SSY5	Sulfonylurea Sensitive on YPD	77518.4	699
S000003693	YJL157C	S. cerevisiae	FAR1	Factor ARrest	94545	830
S000003694	YJL158C	S. cerevisiae	CIS3	CIk1 Suppressing	23233.8	227
S000003695	YJL159W	S. cerevisiae	HSP150	Heat Shock Protein	41054.6	413
S000003696	YJL160C	S. cerevisiae	PIR5	Protein with Internal Repeats	30221.7	287
S000003697	YJL161W	S. cerevisiae	FMP33	Found in Mitochondrial Proteome	20189.5	180
S000003698	YJL162C	S. cerevisiae	JJJ2	J-protein (Type III)	67392.3	583
S000003699	YJL163C	S. cerevisiae			61530.2	555
S000003700	YJL164C	S. cerevisiae	TPK1	Takashi's Protein Kinase	46064.1	397
S000003701	YJL165C	S. cerevisiae	HAL5	HALotolerance	95465.4	855
S000003702	YJL166W	S. cerevisiae	QCR8	ubiQuinol-cytochrome C oxidoReductase	10980.7	94
S000003703	YJL167W	S. cerevisiae	ERG20	ERGosterol biosynthesis	40474.7	352
S000003704	YJL168C	S. cerevisiae	SET2	SET domain-containing	84474.6	733
S000003705	YJL169W	S. cerevisiae			13977.3	122
S000003706	YJL170C	S. cerevisiae	ASG7	a-Specific Gene	24939.9	209
S000003707	YJL171C	S. cerevisiae	TOH1	TOS One Homolog	42946.1	396
S000003708	YJL172W	S. cerevisiae	CPS1	CarboxyPeptidase yscS	64568.3	576
S000003709	YJL173C	S. cerevisiae	RFA3	Replication Factor A	13810.9	122
S000003710	YJL174W	S. cerevisiae	KRE9	Killer toxin REsistant	29996	276
S000003711	YJL175W	S. cerevisiae			17728.8	170
S000003712	YJL176C	S. cerevisiae	SWI3	SWItching deficient	92876.1	825
S000003713	YJL177W	S. cerevisiae	RPL17B	Ribosomal Protein of the Large subunit	20574.9	184
S000003714	YJL178C	S. cerevisiae	ATG27	AuTophaGy related	30197.6	271
S000003715	YJL179W	S. cerevisiae	PFD1	PreFolDin	12784.9	109
S000003716	YJL180C	S. cerevisiae	ATP12	ATP synthase	36559.7	325
S000003717	YJL181W	S. cerevisiae	RBH1	Ran Binding domain Homolog	69457	611
S000003718	YJL182C	S. cerevisiae			12489.9	105
S000003719	YJL183W	S. cerevisiae	MNN11	MaNNosyltransferase	47862.2	422
S000003720	YJL184W	S. cerevisiae	GON7		13598.2	123
S000003721	YJL185C	S. cerevisiae	ATG36	AuTophaGy related	33726.5	293
S000003722	YJL186W	S. cerevisiae	MNN5	MaNNosyltransferase	67199.9	586
S000003723	YJL187C	S. cerevisiae	SWE1	Saccharomyces WEe1	92452.9	819
S000003724	YJL188C	S. cerevisiae	BUD19	BUD site selection	11609.5	102
S000003725	YJL189W	S. cerevisiae	RPL39	Ribosomal Protein of the Large subunit	6358.9	51
S000003726	YJL190C	S. cerevisiae	RPS22A	Ribosomal Protein of the Small subunit	14635.3	130
S000003727	YJL191W	S. cerevisiae	RPS14B	Ribosomal Protein of the Small subunit	14661.1	138
S000003728	YJL192C	S. cerevisiae	SOP4	Suppressor Of Pma1-7	26604.9	234
S000003729	YJL193W	S. cerevisiae			45954.7	402
S000003730	YJL194W	S. cerevisiae	CDC6	Cell Division Cycle	58055.3	513
S000003731	YJL195C	S. cerevisiae			25435.3	233
S000003732	YJL196C	S. cerevisiae	ELO1	ELOngation defective	36249.2	310
S000003733	YJL197W	S. cerevisiae	UBP12	UBiquitin-specific Protease	143087.9	1254
S000003734	YJL198W	S. cerevisiae	PHO90	PHOsphate metabolism	97687.3	881
S000003735	YJL199C	S. cerevisiae	MBB1		12522.3	108
S000003736	YJL200C	S. cerevisiae	ACO2	ACOnitase	86580.1	789
S000003737	YJL201W	S. cerevisiae	ECM25	ExtraCellular Mutant	68483.6	599
